web-scraper-order,web-scraper-start-url,IATA,ICAO,Airline,Call sign,Country_Region,Comments
"1733246192-134","https://en.wikipedia.org/wiki/List_of_airline_codes","SU","AFL","Aeroflot","AEROFLOT","Russia",""
"1733246192-135","https://en.wikipedia.org/wiki/List_of_airline_codes","P3","PLS","Aeroflot-Plus","AEROPLUS","Russia",""
"1733246192-136","https://en.wikipedia.org/wiki/List_of_airline_codes","","AEG","Aerofumigaciones Sam","FUMIGACIONES SAM","Chile","defunct"
"1733246192-137","https://en.wikipedia.org/wiki/List_of_airline_codes","","AGQ","Aerogala","GALASERVICE","Chile","defunct"
"1733246192-138","https://en.wikipedia.org/wiki/List_of_airline_codes","","ARH","Aerohelicopteros","AEROHELCA","Venezuela","2014[1]"
"1733246192-139","https://en.wikipedia.org/wiki/List_of_airline_codes","","BJU","AeroJet","JET EXPRESS","Angola",""
"1733246192-140","https://en.wikipedia.org/wiki/List_of_airline_codes","","ARJ","Aerojet de Costa Rica, S.A.","","Costa Rica",""
"1733246192-141","https://en.wikipedia.org/wiki/List_of_airline_codes","","LFT","Aerolift Company","LIFTCO","Sierra Leone","defunct"
"1733246192-142","https://en.wikipedia.org/wiki/List_of_airline_codes","","LIN","Aerolimousine","AEROLIMOUSINE","Russia",""
"1733246192-143","https://en.wikipedia.org/wiki/List_of_airline_codes","","PCP","Aerolínea Principal Chile","PRINCIPAL","Chile",""
"1733246192-144","https://en.wikipedia.org/wiki/List_of_airline_codes","","ALT","Aerolíneas Centrales","AERLINEAS CENTRALES","Mexico",""
"1733246192-145","https://en.wikipedia.org/wiki/List_of_airline_codes","","AHL","Aerolíneas Hidalgo","HIDALGO","Mexico",""
"1733246192-146","https://en.wikipedia.org/wiki/List_of_airline_codes","","APR","Aerolíneas Primordiales","AEROPERLAS","Mexico",""
"1733246192-147","https://en.wikipedia.org/wiki/List_of_airline_codes","","LDL","Aerologic","","Russia",""
"1733246192-148","https://en.wikipedia.org/wiki/List_of_airline_codes","","VSC","Aeronautic de Los Pirineos","","Spain",""
"1733246192-149","https://en.wikipedia.org/wiki/List_of_airline_codes","","PSE","Aeroservicio Sipse","SIPSE","Mexico",""
"1733246192-150","https://en.wikipedia.org/wiki/List_of_airline_codes","","PSL","Aeroservicios Corporativos De San Luis","CORSAN","Mexico",""
"1733246192-151","https://en.wikipedia.org/wiki/List_of_airline_codes","","EAE","Aeroservicios Ecuatorianos","AECA","Ecuador",""
"1733246192-152","https://en.wikipedia.org/wiki/List_of_airline_codes","","AES","Aerosur Paraguay","AEROPARAGUAY","Paraguay",""
"1733246192-153","https://en.wikipedia.org/wiki/List_of_airline_codes","","BTS","Aerotaxis Albatros","AEROLINEAS ALBATROS","Mexico",""
"1733246192-154","https://en.wikipedia.org/wiki/List_of_airline_codes","","PRI","Aerotransportes Privados","AEROPRIV","Mexico","ICAO code in use by another company, call sign no longer allocated"
"1733246192-155","https://en.wikipedia.org/wiki/List_of_airline_codes","","PVA","Aerotransportes Privados","TRANSPRIVADO","Mexico",""
