code,name,time_zone,city,state,iso_code,country_name
TIV,Tivat Airport,Europe/Podgorica,Tivat,Tivat,ME,Montenegro
TIW,Industrial,America/Los_Angeles,Wollochet,Washington,US,United States
TIX,Space Coast Regional,America/New_York,Port Saint John,Florida,US,United States
TIY,Tidjikja,Africa/Nouakchott,Tidjikja,Tagant,MR,Mauritania
TIZ,Tari Airport,Pacific/Port_Moresby,Tari,Hela,PG,Papua New Guinea
TJA,Capitan Oriel Lea Plaza Airport,America/La_Paz,Tarija,Tarija,BO,Bolivia
TJB,Tanjung Balai,Asia/Jakarta,Tanjungbalai,North Sumatra,ID,Indonesia
TJC,Ticantiki,America/Panama,Nargana,Guna Yala,PA,Panama
TJG,Tanjung Warukin,Asia/Jakarta,Simpang,Jambi,ID,Indonesia
TJH,Tajima,Asia/Tokyo,Toyooka,Hyogo,JP,Japan
TJI,Capiro,America/Tegucigalpa,Trujillo,Colon,HN,Honduras
TJK,Tokat,Europe/Istanbul,Yesilyurt,Tokat,TR,Turkey
TJL,Três Lagoas Airport,America/Campo_Grande,Tres Lagoas,Mato Grosso do Sul,BR,Brazil
TJM,Roshchino International Airport,Asia/Yekaterinburg,Moskovskiy,Tjumen,RU,Russia
TJN,Takume,Pacific/Tahiti,Atuona,,PF,French Polynesia
TJQ,Bulutumbang Airport,Asia/Jakarta,Tanjung Pandan,Bangka-Belitung Islands,ID,Indonesia
TJS,Tanjung Selor,Asia/Makassar,Tanjung Palas,North Kalimantan,ID,Indonesia
TJU,Kulyab Airport,Asia/Dushanbe,Kulob,Khatlon,TJ,Tajikistan
TJV,Thanjavur,Asia/Kolkata,Thanjavur,Tamil Nadu,IN,India
TKA,Talkeetna,America/Anchorage,,,US,United States
TKB,Tekadu,Pacific/Port_Moresby,,,PG,Papua New Guinea
TKC,Tiko,Africa/Douala,Mutengene,South-West Province,CM,Cameroon
TKD,Takoradi Airport,Africa/Accra,,,GH,Ghana
TKE,Tenakee SPB,America/Anchorage,Sitka,Alaska,US,United States
TKF,Truckee-Tahoe,America/Los_Angeles,Truckee,California,US,United States
TKG,Radin Inten II Airport,Asia/Jakarta,Natar,Lampung,ID,Indonesia
TKH,Nakhon Sawan,Asia/Bangkok,Takhli,Nakhon Sawan,TH,Thailand
TKI,Tokeen,America/Anchorage,,,US,United States
TKJ,Tok,America/Anchorage,,,US,United States
TKK,Chuuk International Airport,Pacific/Chuuk,Weno Town,Chuuk,FM,Micronesia
TKL,Taku SPB,America/Anchorage,,,US,United States
TKM,El Peten,America/Guatemala,,,GT,Guatemala
TKN,Tokunoshima,Asia/Tokyo,Naze,Kagoshima,JP,Japan
TKO,Tlokoeng,Africa/Maseru,Mokhotlong,Mokhotlong,LS,Lesotho
TKP,Takapoto,Pacific/Tahiti,,,PF,French Polynesia
TKQ,Kigoma Airport,Africa/Dar_es_Salaam,Kigoma,Kigoma,TZ,Tanzania
TKR,Thakurgaon,Asia/Dhaka,Thakurgaon,Rangpur Division,BD,Bangladesh
TKS,Tokushima Awaodori Airport,Asia/Tokyo,Narutocho-mitsuishi,Tokushima,JP,Japan
TKT,Tak,Asia/Bangkok,Tak,Tak,TH,Thailand
TKU,Turku Airport,Europe/Helsinki,Turku,Varsinais-Suomi,FI,Finland
TKV,Tatakoto,Pacific/Tahiti,,,PF,French Polynesia
TKW,Tekin,Pacific/Port_Moresby,Porgera,Enga,PG,Papua New Guinea
TKX,Takaroa,Pacific/Tahiti,Tautira,,PF,French Polynesia
TKY,Turkey Creek,Australia/Perth,,,AU,Australia
